Date,Time,Location,Weather,Fish Caught,Amount of Fish,Bait Used,Water Temp (°F),Wind Speed (mph)
2023-05-28,7:45,Boundary Waters,Windy,Pike,4,Crankbait,64.7,9.6
2024-03-15,5:30,Rainy Lake,Windy,"Perch, Catfish, Walleye",8,Crankbait,77.8,5.5
2023-05-10,10:45,Boundary Waters,Hot,"Trout, Pike, Walleye",7,Worms,78.3,4.7
2023-09-18,10:30,Boundary Waters,Cloudy,"Walleye, Catfish, Pike",5,Minnows,54.8,15.2
2022-10-13,10:00,Lake Harriet,Cold,"Bluegill, Catfish",1,Minnows,79.4,13.1
2022-08-12,9:00,Lake Minnetonka,Rainy,Bass,10,Spinnerbait,57.0,5.5
2023-12-09,10:30,Boundary Waters,Cold,Walleye,9,Artificial Lure,57.8,6.8
2022-01-13,9:00,Rainy Lake,Windy,"Walleye, Catfish",7,Artificial Lure,67.6,18.1
2024-05-22,5:15,Lake Minnetonka,Cold,"Bass, Catfish",8,Worms,53.8,12.8
2023-07-17,9:45,Rainy Lake,Hot,"Catfish, Bass",9,Minnows,66.0,5.9
2023-09-07,7:30,Rainy Lake,Rainy,"Catfish, Perch, Trout",4,Artificial Lure,68.9,8.1
2024-04-28,11:15,Lake Superior,Sunny,"Walleye, Catfish, Bass",7,Artificial Lure,70.4,19.0
2024-06-02,9:00,Lake Superior,Rainy,"Walleye, Bluegill, Catfish",10,Spinnerbait,64.1,16.9
2023-05-04,9:30,Lake Minnetonka,Cloudy,Trout,8,Spinnerbait,59.3,4.5
2023-01-24,9:15,Rainy Lake,Windy,"Bass, Pike",8,Minnows,59.5,1.3
2024-03-02,11:00,Lake Minnetonka,Hot,"Bluegill, Bass",4,Crankbait,63.7,6.0
2022-10-02,10:15,Boundary Waters,Sunny,"Pike, Bluegill, Trout",6,Worms,78.9,17.9
2023-03-08,8:30,Lake Minnetonka,Sunny,"Bass, Bluegill",5,Minnows,53.0,15.2
2022-01-09,6:30,Rainy Lake,Cold,"Walleye, Trout, Pike",8,Worms,53.5,15.4
2024-03-11,11:15,Lake Superior,Sunny,Catfish,5,Worms,70.8,15.1
2022-01-12,7:45,Rainy Lake,Sunny,Bass,1,Artificial Lure,79.5,0.6
2024-05-14,10:30,Boundary Waters,Windy,Trout,8,Worms,50.5,6.4
2022-11-18,9:00,Boundary Waters,Hot,Walleye,6,Worms,65.3,13.3
2022-04-08,10:45,Lake Minnetonka,Hot,"Bluegill, Perch",2,Spinnerbait,66.0,19.5
2023-07-17,11:00,Boundary Waters,Cold,Perch,9,Worms,73.7,8.1
2023-03-28,9:00,Lake Harriet,Sunny,"Catfish, Perch",6,Artificial Lure,63.0,8.9
2023-03-31,8:00,Lake Minnetonka,Cold,Bluegill,1,Spinnerbait,67.3,10.7
2022-02-15,10:00,Lake Harriet,Cloudy,"Walleye, Pike, Perch",1,Minnows,70.1,3.3
2022-02-21,9:30,Lake Minnetonka,Hot,"Pike, Bass",6,Minnows,72.0,0.5
2024-03-13,8:30,Lake Minnetonka,Rainy,"Perch, Bluegill, Bass",7,Artificial Lure,66.2,14.0
2023-11-11,9:45,Lake Harriet,Windy,"Catfish, Pike, Bluegill",3,Worms,68.2,0.4
2022-03-19,8:30,Lake Minnetonka,Cold,"Perch, Pike",10,Worms,72.3,14.9
2023-05-10,5:30,Rainy Lake,Windy,"Walleye, Bass, Bluegill",7,Worms,75.7,0.4
2024-05-26,10:30,Boundary Waters,Hot,"Pike, Trout, Bass",1,Spinnerbait,62.6,19.4
2023-10-06,11:45,Lake Harriet,Cold,Trout,2,Worms,56.3,2.3
2022-06-02,8:45,Lake Minnetonka,Cold,Trout,10,Worms,58.5,4.3
2022-02-05,9:30,Boundary Waters,Windy,"Perch, Bluegill",4,Artificial Lure,62.4,18.9
2023-03-17,8:00,Lake Harriet,Cold,"Perch, Walleye",5,Worms,64.5,9.2
2023-03-24,9:45,Boundary Waters,Sunny,"Pike, Walleye",9,Artificial Lure,78.3,19.3
2023-09-28,8:45,Boundary Waters,Cold,"Perch, Catfish, Walleye",32,Worms,75.9,0.1
2023-05-31,11:45,Boundary Waters,Cold,Walleye,6,Spinnerbait,51.2,3.7
2022-09-29,11:45,Boundary Waters,Cold,"Bass, Bluegill, Trout",10,Spinnerbait,65.1,3.7
2022-04-07,8:30,Lake Minnetonka,Hot,"Bass, Trout",4,Crankbait,79.4,5.7
2022-12-30,10:00,Lake Minnetonka,Hot,"Perch, Pike, Bluegill",5,Artificial Lure,61.8,3.1
2023-08-02,8:00,Rainy Lake,Cloudy,"Perch, Bluegill",2,Spinnerbait,69.6,14.9
2024-04-25,9:30,Boundary Waters,Rainy,None,0,Minnows,68.8,12.9
2022-01-09,8:45,Lake Superior,Windy,Catfish,6,Crankbait,70.9,3.5
2023-11-08,6:45,Lake Minnetonka,Hot,Walleye,3,Worms,57.4,10.6
2022-06-18,11:45,Rainy Lake,Cloudy,"Walleye, Catfish",4,Crankbait,72.7,14.2
2024-02-03,10:15,Boundary Waters,Rainy,Bass,3,Spinnerbait,53.5,2.0
2024-03-26,10:45,Lake Superior,Cold,"Bass, Walleye",3,Spinnerbait,70.7,15.1
2022-04-07,7:00,Lake Harriet,Cold,"Bass, Trout",22,Spinnerbait,71.2,3.3
2022-12-08,9:15,Lake Harriet,Cloudy,"Bluegill, Walleye",10,Artificial Lure,53.0,12.4
2024-05-17,8:00,Lake Harriet,Hot,None,0,Crankbait,76.4,17.3
2024-05-01,9:45,Lake Minnetonka,Hot,"Bluegill, Catfish",9,Crankbait,74.9,5.6
2022-02-12,11:45,Boundary Waters,Hot,Walleye,8,Spinnerbait,56.0,10.4
2023-03-30,6:45,Lake Minnetonka,Sunny,"Catfish, Walleye",3,Crankbait,65.0,12.3
2023-09-05,5:00,Boundary Waters,Windy,"Trout, Walleye, Pike",8,Spinnerbait,72.8,10.3
2023-07-01,5:30,Rainy Lake,Cloudy,"Catfish, Bluegill",8,Minnows,50.3,7.9
2023-04-09,8:30,Lake Harriet,Hot,"Pike, Bass",10,Crankbait,78.8,15.6
2022-07-25,7:15,Boundary Waters,Cold,"Trout, Bluegill, Pike",29,Minnows,79.9,0.4
2022-12-05,8:00,Lake Minnetonka,Cloudy,"Bluegill, Pike, Walleye",8,Worms,67.5,14.8
2023-12-21,8:30,Lake Harriet,Rainy,None,0,Worms,58.3,14.2
2023-12-31,9:45,Lake Minnetonka,Sunny,"Trout, Pike, Walleye",2,Minnows,77.5,1.7
