Date,Time,Location,Weather,Fish Caught,Amount,Bait,Temperature,Wind Speed
2025-07-04,09:00,Riverbend,Sunny,Bass,4,Worms,26,8
2025-07-05,10:00,Lakeview,Cloudy,Trout,6,Fly,21,7
2025-07-06,11:00,Riverbend,Sunny,Catfish,3,Bread,27,12
2025-07-07,12:00,Lakeview,Rainy,Bass,2,Worms,23,20
2025-07-08,13:00,Riverbend,Cloudy,Trout,4,Fly,24,6
2025-07-09,14:00,Lakeview,Sunny,Catfish,5,Bread,28,9
2025-07-10,15:00,Riverbend,Rainy,Bass,3,Worms,22,18
2025-07-11,06:00,Lakeview,Sunny,Trout,7,Fly,25,10
2025-07-12,07:30,Riverbend,Cloudy,Bass,6,Worms,20,5
2025-07-13,08:15,Lakeview,Rainy,Catfish,4,Bread,22,15
2025-07-14,09:45,Riverbend,Sunny,Trout,8,Fly,26,8
2025-07-15,10:30,Lakeview,Cloudy,Bass,5,Worms,21,7
2025-07-16,11:00,Riverbend,Sunny,Catfish,6,Bread,27,12
2025-07-17,12:30,Lakeview,Rainy,Trout,3,Fly,23,20
2025-07-18,13:15,Riverbend,Cloudy,Bass,7,Worms,24,6
2025-07-19,14:45,Lakeview,Sunny,Catfish,8,Bread,28,9
2025-07-20,15:30,Riverbend,Rainy,Trout,4,Fly,22,18
2025-07-21,06:00,Lakeview,Sunny,Bass,9,Worms,25,10
2025-07-22,07:30,Riverbend,Cloudy,Catfish,5,Bread,20,5
2025-07-23,08:15,Lakeview,Rainy,Trout,6,Fly,22,15
2025-07-24,09:45,Riverbend,Sunny,Bass,7,Worms,26,8
2025-07-25,10:30,Lakeview,Cloudy,Catfish,4,Bread,21,7
2025-07-26,11:00,Riverbend,Sunny,Trout,8,Fly,27,12
2025-07-27,12:30,Lakeview,Rainy,Bass,5,Worms,23,20
2025-07-28,13:15,Riverbend,Cloudy,Catfish,6,Bread,24,6
2025-07-29,14:45,Lakeview,Sunny,Trout,7,Fly,28,9
2025-07-30,15:30,Riverbend,Rainy,Bass,4,Worms,22,18
2025-07-31,06:00,Lakeview,Sunny,Catfish,8,Bread,25,10
2025-08-01,07:30,Riverbend,Cloudy,Trout,9,Fly,20,5
2025-08-02,08:15,Lakeview,Rainy,Bass,6,Worms,22,15
2025-08-03,09:45,Riverbend,Sunny,Catfish,7,Bread,26,8
2025-08-04,10:30,Lakeview,Cloudy,Trout,5,Fly,21,7
2025-08-05,11:00,Riverbend,Sunny,Bass,8,Worms,27,12
2025-08-06,12:30,Lakeview,Rainy,Catfish,4,Bread,23,20
2025-08-07,13:15,Riverbend,Cloudy,Trout,6,Fly,24,6
2025-08-08,14:45,Lakeview,Sunny,Bass,7,Worms,28,9
2025-08-09,15:30,Riverbend,Rainy,Catfish,5,Bread,22,18
2025-08-10,06:00,Lakeview,Sunny,Trout,8,Fly,25,10
2025-08-11,07:30,Riverbend,Cloudy,Bass,9,Worms,20,5
2025-08-12,08:15,Lakeview,Rainy,Catfish,6,Bread,22,15
2025-08-13,09:45,Riverbend,Sunny,Trout,7,Fly,26,8
2025-08-14,10:30,Lakeview,Cloudy,Bass,5,Worms,21,7
2025-08-15,11:00,Riverbend,Sunny,Catfish,8,Bread,27,12
2025-08-16,12:30,Lakeview,Rainy,Trout,4,Fly,23,20
2025-08-17,13:15,Riverbend,Cloudy,Bass,6,Worms,24,6
2025-08-18,14:45,Lakeview,Sunny,Catfish,7,Bread,28,9
2025-08-19,15:30,Riverbend,Rainy,Trout,5,Fly,22,18
2025-08-20,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2025-08-21,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2025-08-22,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2025-08-23,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2025-08-24,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2025-08-25,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2025-08-26,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2025-08-27,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2025-08-28,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2025-08-29,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2025-08-30,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2025-08-31,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2025-09-01,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2025-09-02,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2025-09-03,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2025-09-04,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2025-09-05,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2025-09-06,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2025-09-07,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2025-09-08,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2025-09-09,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2025-09-10,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2025-09-11,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2025-09-12,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2025-09-13,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2025-09-14,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2025-09-15,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2025-09-16,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2025-09-17,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2025-09-18,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2025-09-19,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2025-09-20,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2025-09-21,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2025-09-22,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2025-09-23,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2025-09-24,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2025-09-25,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2025-09-26,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2025-09-27,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2025-09-28,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2025-09-29,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2025-09-30,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2025-10-01,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2025-10-02,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2025-10-03,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2025-10-04,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2025-10-05,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2025-10-06,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2025-10-07,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2025-10-08,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2025-10-09,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2025-10-10,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2025-10-11,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2025-10-12,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2025-10-13,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2025-10-14,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2025-10-15,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2025-10-16,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2025-10-17,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2025-10-18,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2025-10-19,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2025-10-20,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2025-10-21,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2025-10-22,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2025-10-23,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2025-10-24,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2025-10-25,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2025-10-26,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2025-10-27,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2025-10-28,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2025-10-29,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2025-10-30,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2025-10-31,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2025-11-01,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2025-11-02,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2025-11-03,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2025-11-04,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2025-11-05,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2025-11-06,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2025-11-07,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2025-11-08,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2025-11-09,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2025-11-10,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2025-11-11,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2025-11-12,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2025-11-13,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2025-11-14,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2025-11-15,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2025-11-16,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2025-11-17,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2025-11-18,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2025-11-19,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2025-11-20,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2025-11-21,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2025-11-22,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2025-11-23,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2025-11-24,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2025-11-25,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2025-11-26,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2025-11-27,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2025-11-28,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2025-11-29,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2025-11-30,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2025-12-01,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2025-12-02,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2025-12-03,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2025-12-04,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2025-12-05,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2025-12-06,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2025-12-07,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2025-12-08,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2025-12-09,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2025-12-10,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2025-12-11,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2025-12-12,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2025-12-13,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2025-12-14,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2025-12-15,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2025-12-16,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2025-12-17,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2025-12-18,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2025-12-19,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2025-12-20,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2025-12-21,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2025-12-22,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2025-12-23,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2025-12-24,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2025-12-25,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2025-12-26,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2025-12-27,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2025-12-28,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2025-12-29,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2025-12-30,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2025-12-31,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-01-01,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-01-02,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-01-03,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-01-04,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-01-05,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-01-06,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-01-07,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-01-08,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-01-09,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-01-10,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-01-11,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-01-12,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-01-13,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-01-14,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-01-15,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-01-16,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-01-17,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-01-18,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-01-19,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-01-20,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-01-21,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-01-22,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-01-23,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-01-24,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-01-25,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-01-26,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-01-27,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-01-28,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-01-29,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-01-30,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-01-31,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-02-01,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-02-02,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-02-03,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-02-04,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-02-05,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-02-06,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-02-07,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-02-08,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-02-09,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-02-10,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-02-11,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-02-12,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-02-13,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-02-14,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-02-15,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-02-16,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-02-17,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-02-18,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-02-19,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-02-20,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-02-21,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-02-22,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-02-23,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
